,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-suab1238-1-one-1,numerals-suab1238-1,Chan2019,one,1,mútero,mutero,,FALSE,1,,
2,numerals-suab1238-1-one-2,numerals-suab1238-1,Chan2019,one,1,naɡiáre,nagiare,,FALSE,1,,
3,numerals-suab1238-1-one-3,numerals-suab1238-1,Chan2019,one,1,naɡuáre,naguare,(bending the little finger),FALSE,1,,
4,numerals-suab1238-1-two-1,numerals-suab1238-1,Chan2019,two,2,éri-wo,eriwo,"(two-F, bending the ring finger)",FALSE,2,,
5,numerals-suab1238-1-three-1,numerals-suab1238-1,Chan2019,three,3,éri-naɡuáre,erinaguare,"(two-one, bending the middle finger)",FALSE,2[+]1,,
6,numerals-suab1238-1-four-1,numerals-suab1238-1,Chan2019,four,4,éri-eridáre,erieridare,"(two-two, bending the index finger)",FALSE,2[+]2,,
7,numerals-suab1238-1-five-1,numerals-suab1238-1,Chan2019,five,5,néwo-ɡáaɡo,newogaago,"(hand-side, clenching left fist )",FALSE,5,‘hand-side’,
8,numerals-suab1238-1-six-1,numerals-suab1238-1,Chan2019,six,6,néwo-ɡáaɡo naɡiáre,newogaagonagiare,"(hand-side, one, bending the right little finger )",FALSE,5[+]1,,
9,numerals-suab1238-1-seven-1,numerals-suab1238-1,Chan2019,seven,7,néwo-ɡáaɡo éridare,newogaagoeridare,"(hand-side, two, bending right right finger )",FALSE,5[+]2,,
10,numerals-suab1238-1-eight-1,numerals-suab1238-1,Chan2019,eight,8,néwo-ɡáaɡo naɡuare,newogaagonaguare,"(hand-side, three. bending right middle finger )",FALSE,?,"This would seem to mean 6: 5[+]1 ; the system appears to break down; the consultant was perhaps saying ‘hand-side [and] another’ [i.e, one more than 7]",
11,numerals-suab1238-1-nine-1,numerals-suab1238-1,Chan2019,nine,9,néwo-ɡáaɡo naɡiáre,newogaagonagiare,"(hand-side, two-two, bending right index finger )",FALSE,?,"This would seem to mean 6: 5[+]1 ; the system appears to break down; the consultant was perhaps saying ‘hand-side [and] another’ [i.e, one more than 7]",
12,numerals-suab1238-1-ten-1,numerals-suab1238-1,Chan2019,ten,10,néwo-wa suɡéri,newowasugeri,"(hand-PL both, clapping two hands in front of the breast )",FALSE,5⋅2,‘hand-PL both’,
13,numerals-suab1238-1-eleven-1,numerals-suab1238-1,Chan2019,eleven,11,néwo-wa suɡéri mútero,newowasugerimutero,"(hand-PL both, one, touching right little toe )",FALSE,(5⋅2)[+]1,,
14,numerals-suab1238-1-fifteen-1,numerals-suab1238-1,Chan2019,fifteen,15,néwo-wa suɡéri néwo-ɡáaɡo,newowasugerinewogaago,"(hand-PL both, hand-side, one, touching left big toe)",FALSE,(5⋅2)[+]5,,
15,numerals-suab1238-1-sixteen-1,numerals-suab1238-1,Chan2019,sixteen,16,néwo-wa suɡéri néwo-ɡáaɡo naɡiáre,newowasugerinewogaagonagiare,( touching right little toe),FALSE,(5⋅2)[+](5+1),,
16,numerals-suab1238-1-twenty-1,numerals-suab1238-1,Chan2019,twenty,20,naɡiá-ɡa íraɡiro,nagiagairagiro,( one-POSS body ),FALSE,1⋅20,‘one-POSS body’,
17,numerals-suab1238-1-twentyone-1,numerals-suab1238-1,Chan2019,twentyone,21,naɡiá-ɡa íraɡiro mútero,nagiagairagiromutero,"( one-POSS body, one )",FALSE,(1⋅20)[+]1,,
18,numerals-suab1238-1-thirty-1,numerals-suab1238-1,Chan2019,thirty,30,naɡiá-ɡa íraɡiro mútero néwo-wa suɡéri,nagiagairagiromuteronewowasugeri,"( one-POSS body, hand-PL both )",FALSE,(1⋅20)[+](5⋅2),,
19,numerals-suab1238-1-forty-1,numerals-suab1238-1,Chan2019,forty,40,eridá-ɡa íraɡiro,eridagairagiro,( two-POSS body ),FALSE,2⋅20,,
20,numerals-suab1238-1-hundred-1,numerals-suab1238-1,Chan2019,hundred,100,natído-raɡo,natidorago,"( bundle of hundred, sticks-one )",FALSE,100⋅1′,,
21,numerals-suab1238-1-twohundred-1,numerals-suab1238-1,Chan2019,twohundred,200,natído-éri-wo,natidoeriwo,"( bundle of hundred, sticks-two-F )",FALSE,100⋅2,,
22,numerals-suab1238-1-thousand-1,numerals-suab1238-1,Chan2019,thousand,1000,nipído-raɡo,nipidorago,"( bundle of ten, natído-one )",FALSE,1000⋅1′,,
23,numerals-suab1238-1-twothousand-1,numerals-suab1238-1,Chan2019,twothousand,2000,nipído-ériwo,nipidoeriwo,"( bundle of ten, natído-two )",FALSE,1000⋅2,,
