,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-pani1258-1-one-1,barlowpacific-pani1258-1,Barlow2024,one,1,ŏlūfăn,olufan,,FALSE,1,,
2,barlowpacific-pani1258-1-two-1,barlowpacific-pani1258-1,Barlow2024,two,2,ĕlĭs,elis,,FALSE,2,,
3,barlowpacific-pani1258-1-three-1,barlowpacific-pani1258-1,Barlow2024,three,3,izĕd,ized,,FALSE,3,,
4,barlowpacific-pani1258-1-four-1,barlowpacific-pani1258-1,Barlow2024,four,4,woalai,woalai,,FALSE,4,,
5,barlowpacific-pani1258-1-five-1,barlowpacific-pani1258-1,Barlow2024,five,5,mămāgai,mamagai,,FALSE,5{?},,
6,barlowpacific-pani1258-1-six-1,barlowpacific-pani1258-1,Barlow2024,six,6,ebĕn-nahe,ebennahe,,FALSE,5′+1,,
7,barlowpacific-pani1258-1-seven-1,barlowpacific-pani1258-1,Barlow2024,seven,7,ebĕn-ĕlīs,ebenelis,,FALSE,5′+2,,
8,barlowpacific-pani1258-1-eight-1,barlowpacific-pani1258-1,Barlow2024,eight,8,ebĕn-izĕd,ebenized,,FALSE,5′+3,,
9,barlowpacific-pani1258-1-nine-1,barlowpacific-pani1258-1,Barlow2024,nine,9,ebĕn-woalai,ebenwoalai,,FALSE,5′+4,,
10,barlowpacific-pani1258-1-ten-1,barlowpacific-pani1258-1,Barlow2024,ten,10,mama-gūnŭm,mamagunum,,FALSE,{5}10,Perhaps means something like ‘5 all’ (?),5⋅2′
11,barlowpacific-pani1258-1-twenty-1,barlowpacific-pani1258-1,Barlow2024,twenty,20,gu-gunum,gugunum,,FALSE,10′+10,Partial reduplication of ‘all’ (?),10⋅2′
