,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-weli1239-1-one-1,barlowpacific-weli1239-1,Barlow2024,one,1,kongotai,kongotai,,FALSE,1,,
2,barlowpacific-weli1239-1-two-1,barlowpacific-weli1239-1,Barlow2024,two,2,eleko,eleko,,FALSE,2,,
3,barlowpacific-weli1239-1-three-1,barlowpacific-weli1239-1,Barlow2024,three,3,olowu,olowu,,FALSE,3,,
4,barlowpacific-weli1239-1-four-1,barlowpacific-weli1239-1,Barlow2024,four,4,eleko ngomba eleko,elekongombaeleko,two and two,FALSE,2+{and}2,,
5,barlowpacific-weli1239-1-five-1,barlowpacific-weli1239-1,Barlow2024,five,5,meme bisuk,memebisuk,hand finished,FALSE,5{finished},‘hand finished’,
6,barlowpacific-weli1239-1-six-1,barlowpacific-weli1239-1,Barlow2024,six,6,isin biknganggin kongotai,isinbikngangginkongotai,side half one,FALSE,{5′}5″+1,‘side half one’ (?),
7,barlowpacific-weli1239-1-ten-1,barlowpacific-weli1239-1,Barlow2024,ten,10,isin birim birim bisuk,isinbirimbirimbisuk,both hands finished,FALSE,5′⋅2′{finished},‘side both finished’ (?),
8,barlowpacific-weli1239-1-eleven-1,barlowpacific-weli1239-1,Barlow2024,eleven,11,aputen kongotai,aputenkongotai,leg one,FALSE,10[+]1,‘leg one’,
9,barlowpacific-weli1239-1-fifteen-1,barlowpacific-weli1239-1,Barlow2024,fifteen,15,aput biknge bisuk,aputbikngebisuk,leg half,FALSE,10[+]5″{finished},‘leg half finished’ (?),
10,barlowpacific-weli1239-1-twenty-1,barlowpacific-weli1239-1,Barlow2024,twenty,20,aput birim birim bisuk,aputbirimbirimbisuk,legs together,FALSE,10⋅2′{finished},‘leg both finished’ (?),
