,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,numerals-anka1246-1-one-1,numerals-anka1246-1,Chan2019,one,1,wo,wo,,FALSE,1,,
2,numerals-anka1246-1-two-1,numerals-anka1246-1,Chan2019,two,2,wau,wau,,FALSE,2,,
3,numerals-anka1246-1-three-1,numerals-anka1246-1,Chan2019,three,3,wau wo,wauwo,,FALSE,2[+]1,,
4,numerals-anka1246-1-four-1,numerals-anka1246-1,Chan2019,four,4,wau wau,wauwau,,FALSE,2[+]2,,
5,numerals-anka1246-1-five-1,numerals-anka1246-1,Chan2019,five,5,ti wau ti wau wo,tiwautiwauwo,"( some people say 'we wu' one hand, 'wu' being the pronoun for     the noun class to which a hand / leg belongs)",FALSE,{?}2[+]{?}2[+]1,,
6,numerals-anka1246-1-six-1,numerals-anka1246-1,Chan2019,six,6,ti wau ti wau ti wau,tiwautiwautiwau,"( we wumi ta'ŋɨ wo one hand one, lit: 2, 2, 2 )",FALSE,{?}2[+]{?}2[+]{?}2,,
7,numerals-anka1246-1-seven-1,numerals-anka1246-1,Chan2019,seven,7,ti wau ti wau ti wau wo,tiwautiwautiwauwo,"( we wumi ta'ŋɨ wau, lit: 2, 2, 2, 1 )",FALSE,{?}2[+]{?}2[+]{?}2[+]1,,
8,numerals-anka1246-1-eight-1,numerals-anka1246-1,Chan2019,eight,8,ti wau ti wau ti wau ti wau,tiwautiwautiwautiwau,"( we wumi ta'ŋɨ wau wo, lit: 2, 2, 2, 2 )",FALSE,{?}2[+]{?}2[+]{?}2[+]{?}2,,
9,numerals-anka1246-1-nine-1,numerals-anka1246-1,Chan2019,nine,9,ti wau ti wau ti wau ti wauwo,tiwautiwautiwautiwauwo,"( we wumi ta'ŋɨ wau wau, lit: 2, 2, 2, 2, 1 )",FALSE,{?}2[+]{?}2[+]{?}2[+]{?}2[+]1,,
10,numerals-anka1246-1-ten-1,numerals-anka1246-1,Chan2019,ten,10,we tukau,wetukau,(litː two hands ),FALSE,5⋅2′,‘hand two’,
11,numerals-anka1246-1-eleven-1,numerals-anka1246-1,Chan2019,eleven,11,we tukau eŋa'na suxwi bi taeyo ti 'ŋɨ wo,wetukauenganasuxwibitaeyotingiwo,(litː 'two hands being at the leg there one'),FALSE,(5⋅2′){being}{5′}{the?}{at?}+{?}{there?}1,,
12,numerals-anka1246-1-twelve-1,numerals-anka1246-1,Chan2019,twelve,12,we tukau eŋa'na suxwi bi taeyo ti 'ŋɨ wau,wetukauenganasuxwibitaeyotingiwau,,FALSE,(5⋅2′){being}{5′}{the?}{at?}+{?}{there?}2,,
13,numerals-anka1246-1-thirteen-1,numerals-anka1246-1,Chan2019,thirteen,13,we tukau eŋa'na suxwi bi taeyo ti 'ŋɨ wau wo,wetukauenganasuxwibitaeyotingiwauwo,,FALSE,(5⋅2′){being}{5′}{the?}{at?}+{?}{there?}2[+]1,,
14,numerals-anka1246-1-fourteen-1,numerals-anka1246-1,Chan2019,fourteen,14,we tukau eŋa'na suxwi bi taeyo ti 'ŋɨ wau wau,wetukauenganasuxwibitaeyotingiwauwau,,FALSE,(5⋅2′){being}{5′}{the?}{at?}+{?}{there?}2[+]2,,
15,numerals-anka1246-1-fifteen-1,numerals-anka1246-1,Chan2019,fifteen,15,we tukau eŋa'na suxwi wu,wetukauenganasuxwiwu,(litː 'two hands being leg one'),FALSE,(5⋅2′){being}+(5′⋅1′),‘hand two being leg one’,
16,numerals-anka1246-1-sixteen-1,numerals-anka1246-1,Chan2019,sixteen,16,we tukau eŋa'na suxwi wu eŋa'na wɨ wu mɨ da'ŋɨ wo,wetukauenganasuxwiwuenganawiwumidangiwo,(litː 'two hands being leg one being the other over there one'),FALSE,(5⋅2′){being}+(5′⋅1′){being}{other?}{1′}{the?}{over.there?}+1,,
17,numerals-anka1246-1-seventeen-1,numerals-anka1246-1,Chan2019,seventeen,17,we tukau eŋa'na suxwi wu eŋa'na wɨ wu mɨ da'ŋɨ wau,wetukauenganasuxwiwuenganawiwumidangiwau,,FALSE,(5⋅2′){being}+(5′⋅1′){being}{other?}{1′}{the?}{over.there?}+2,,
18,numerals-anka1246-1-eighteen-1,numerals-anka1246-1,Chan2019,eighteen,18,we tukau eŋa'na suxwi wu eŋa'na wɨ wu mɨ da'ŋɨ wau wo,wetukauenganasuxwiwuenganawiwumidangiwauwo,,FALSE,(5⋅2′){being}+(5′⋅1′){being}{other?}{1′}{the?}{over.there?}+2[+]1,,
19,numerals-anka1246-1-nineteen-1,numerals-anka1246-1,Chan2019,nineteen,19,we tukau eŋa'na suxwi wu eŋa'na wɨ wu mɨ da'ŋɨ wau wau,wetukauenganasuxwiwuenganawiwumidangiwauwau,,FALSE,(5⋅2′){being}+(5′⋅1′){being}{other?}{1′}{the?}{over.there?}+2[+]2,,
20,numerals-anka1246-1-twenty-1,numerals-anka1246-1,Chan2019,twenty,20,we tukau suxwɨ tu'kau,wetukausuxwitukau,( litː 'two hands two legs'),FALSE,(5⋅2′)[+](5′⋅1′),‘hand two leg two’,
21,numerals-anka1246-1-twentyone-1,numerals-anka1246-1,Chan2019,twentyone,21,we tukau suxwɨ tukau joxɨ yayo wo,wetukausuxwitukaujoxiyayowo,"(litː 'two hands two legs you man your one,     they start counting on someone else's hands and legs')",FALSE,(5⋅2′)[+](5′⋅1′){you?}{man?}+1,,
