"","ID","Language_ID","Source","Parameter_ID","NumberValue","Value","Form","Comment_contributor","Loan","Gloss","Comment_glosser","Alternate_gloss"
"1","barlowpacific-iter1241-5-one-1","barlowpacific-iter1241-5","Barlow2024","one",1,"suso","suso","","false",NA,NA,NA
"2","barlowpacific-iter1241-5-one-2","barlowpacific-iter1241-5","Barlow2024","one",1,"no","no","(1 person)","false",NA,NA,NA
"3","barlowpacific-iter1241-5-two-1","barlowpacific-iter1241-5","Barlow2024","two",2,"tiso","tiso","or possibly diso","false",NA,NA,NA
"4","barlowpacific-iter1241-5-two-2","barlowpacific-iter1241-5","Barlow2024","two",2,"disiɑ","disia","(2 people)","false",NA,NA,NA
"5","barlowpacific-iter1241-5-three-1","barlowpacific-iter1241-5","Barlow2024","three",3,"tɑuso","tauso","","false",NA,NA,NA
"6","barlowpacific-iter1241-5-three-2","barlowpacific-iter1241-5","Barlow2024","three",3,"tɑusiɑ","tausia","(3 people)","false",NA,NA,NA
"7","barlowpacific-iter1241-5-four-1","barlowpacific-iter1241-5","Barlow2024","four",4,"neneiso","neneiso","","false",NA,NA,NA
"8","barlowpacific-iter1241-5-four-2","barlowpacific-iter1241-5","Barlow2024","four",4,"neneisiɑ","neneisia","(4 people)","false",NA,NA,NA
"9","barlowpacific-iter1241-5-five-1","barlowpacific-iter1241-5","Barlow2024","five",5,"nowso","nowso","","false",NA,NA,NA
"10","barlowpacific-iter1241-5-five-2","barlowpacific-iter1241-5","Barlow2024","five",5,"nosiɑ","nosia","(5 people) The numeral follows the noun and there is no special plural form.","false",NA,NA,NA
"11","barlowpacific-iter1241-5-six-1","barlowpacific-iter1241-5","Barlow2024","six",6,"mɑiso","maiso","","false",NA,NA,NA
"12","barlowpacific-iter1241-5-seven-1","barlowpacific-iter1241-5","Barlow2024","seven",7,"numrɑdiso","numradiso","also heard as numenɑdiso","false",NA,NA,NA
"13","barlowpacific-iter1241-5-eight-1","barlowpacific-iter1241-5","Barlow2024","eight",8,"numrɑtɑuso","numratauso","also heard as numenɑtɑuso","false",NA,NA,NA
"14","barlowpacific-iter1241-5-nine-1","barlowpacific-iter1241-5","Barlow2024","nine",9,"numrɑyoso","numrayoso","also heard as numenɑyoso","false",NA,NA,NA
"15","barlowpacific-iter1241-5-ten-1","barlowpacific-iter1241-5","Barlow2024","ten",10,"nɑniso","naniso","","false",NA,NA,NA
