,ID,Language_ID,Source,Parameter_ID,NumberValue,Value,Form,Comment_contributor,Loan,Gloss,Comment_glosser,Alternate_gloss
1,barlowpacific-awun1245-1-one-1,barlowpacific-awun1245-1,Barlow2024,one,1,itɔmtowɑ,itomtowa,,FALSE,{?}1,,
2,barlowpacific-awun1245-1-two-1,barlowpacific-awun1245-1,Barlow2024,two,2,kəlí,kali,,FALSE,2,,
3,barlowpacific-awun1245-1-three-1,barlowpacific-awun1245-1,Barlow2024,three,3,kəlí tʸówɔ,kalityowo,,FALSE,2[+]1,,
4,barlowpacific-awun1245-1-four-1,barlowpacific-awun1245-1,Barlow2024,four,4,ɑrə kownei,arakownei,,FALSE,4,"Does this mean something like ‘thumb without’, i.e, subtractive (?)",
5,barlowpacific-awun1245-1-five-1,barlowpacific-awun1245-1,Barlow2024,five,5,lirə,lira,,FALSE,5,,
6,barlowpacific-awun1245-1-six-1,barlowpacific-awun1245-1,Barlow2024,six,6,ilʸṱiʸɑ limɑ́w,ilytiyalimaw,"[ilʸt ~ ilʸi- = hand, arm]",FALSE,5′[+]1′,‘hand one’ (?),
7,barlowpacific-awun1245-1-seven-1,barlowpacific-awun1245-1,Barlow2024,seven,7,ilʸṱiʸɑ kəli,ilytiyakali,,FALSE,5′[+]2,,
8,barlowpacific-awun1245-1-eight-1,barlowpacific-awun1245-1,Barlow2024,eight,8,ilʸṱiʸɑ kəli tʸówɔ,ilytiyakalityowo,,FALSE,5′[+]2[+]1,,
9,barlowpacific-awun1245-1-nine-1,barlowpacific-awun1245-1,Barlow2024,nine,9,ilʸṱiʸɑ ɑrə kownei,ilytiyaarakownei,,FALSE,5′[+]4,,
10,barlowpacific-awun1245-1-ten-1,barlowpacific-awun1245-1,Barlow2024,ten,10,ilʸi kəl,ilyikal,,FALSE,5[′⋅]2,‘hand two’,
11,barlowpacific-awun1245-1-eleven-1,barlowpacific-awun1245-1,Barlow2024,eleven,11,ilʸi kəl mu witǽ,ilyikalmuwitae,,FALSE,(5′[⋅]2)+{+?}1″,,
12,barlowpacific-awun1245-1-twelve-1,barlowpacific-awun1245-1,Barlow2024,twelve,12,ilʸi kəl mu kəlí,ilyikalmukali,,FALSE,(5′[⋅]2)+{+?}2,,
13,barlowpacific-awun1245-1-thirteen-1,barlowpacific-awun1245-1,Barlow2024,thirteen,13,ilʸi kəl mu kəlí tʸówɔ,ilyikalmukalityowo,,FALSE,(5′[⋅]2)+{+?}2[+]1,,
14,barlowpacific-awun1245-1-fourteen-1,barlowpacific-awun1245-1,Barlow2024,fourteen,14,ilʸi kəl mu ɑrəkownei,ilyikalmuarakownei,,FALSE,(5′[⋅]2)+{+?}4,,
15,barlowpacific-awun1245-1-twenty-1,barlowpacific-awun1245-1,Barlow2024,twenty,20,ilʸtikəl ɜ̀lwukí,ilytikalelwuki,Tested for classes,FALSE,(′5[⋅]2)[+](5″[⋅]2),‘hand two foot two’ (?),
